Time [s],Velocity [km/h],Acceleration [m/s^2],Battery_Voltage [V]
23.2,0,-0.31122,388.6
23.3,0,-0.21546,388.6
23.4,0,-0.20908,388.6
23.5,0,-0.23092,388.6
23.6,0,-0.18637,388.6
23.7,0,-0.14,388.6
23.8,0,-0.14,388.6
23.9,0,-0.13545,388.6
24,0.0625,-0.12454,388.6
24.1,0.30568,-0.13545,388.58984
24.2,0.52884,-0.07908,388.53984
24.3,0.60938,0.06908,388.48984
24.4,0.77446,0.1318,388.43985
24.5,0.94968,0.25784,388.37971
24.6,1.17188,0.34608,388.27969
24.7,1.53568,0.438,388.2
24.8,1.70198,0.42864,388.2
24.9,2.04459,0.41205,388.17966
25,2.32679,0.458,388.07965
25.1,2.65404,0.44863,388
25.2,2.95201,0.41331,388
25.3,3.23325,0.38394,388.01018
25.4,3.50885,0.31503,388.06018
25.5,3.74879,0.21656,388.11018
25.6,3.95762,0.12125,388.16018
25.7,4.1295,0.05531,388.22037
25.8,4.28569,0.02124,388.32038
25.9,4.42639,-0.03531,388.4
26,4.55141,-0.03408,388.4
26.1,4.65071,-0.08939,388.41023
26.2,4.7389,-0.13409,388.46023
26.3,4.8125,-0.19408,388.5
26.4,4.86394,-0.23061,388.5
26.5,4.92188,-0.21832,388.5
26.6,4.97428,-0.2921,388.5
26.7,5.01009,-0.30557,388.5
26.8,5.01009,-0.1859,388.5
26.9,5.09375,-0.1306,388.48975
27,5.15625,-0.11409,388.43975
27.1,5.22885,-0.10366,388.32825
27.2,5.30145,0.17361,387.97823
27.3,5.5248,0.53444,387.62822
27.4,5.85751,0.7227,387.27822
27.5,6.22235,0.77045,386.96923
27.6,6.65998,0.86235,386.81922
27.7,7.11307,0.81329,386.71027
27.8,7.54512,0.81636,386.76027
27.9,7.98346,0.73526,386.85135
28,8.29047,0.26434,387.10135
28.1,8.55237,0.17759,387.34108
28.2,8.76734,0.01173,387.54109
28.3,8.94201,-0.08941,387.72055
28.4,9.18669,-0.21351,387.82055
28.5,9.34762,-0.49442,387.91028
28.6,9.30151,-0.3666,387.96028
28.7,9.35938,-0.16698,388.01028
28.8,9.49611,-0.08359,388.06029
28.9,9.50387,-0.202,388.08971
29,9.52109,-0.32856,388.03971
29.1,9.29225,-0.27493,388.01028
29.2,9.31171,-0.21827,388.06023
29.3,9.30081,-0.22656,388.05918
29.4,9.38517,-0.14908,387.85897
29.5,9.1516,-0.3062,387.6073
29.6,9.15225,0.28488,387.15727
29.7,9.34226,0.88842,386.55267
29.8,9.7227,1.24313,385.35261
29.9,10.25317,1.63039,384.32783
30,10.76425,1.51204,383.97783
30.1,11.21733,1.41808,383.65876
30.2,11.7846,1.53981,383.45875
30.3,12.41504,1.52235,383.27938
30.4,12.96194,1.63287,383.1794
30.5,13.49872,1.62775,383.16176
30.6,14.05035,1.40454,383.46187
30.7,14.55641,1.30346,383.79292
30.8,14.96748,1.00546,384.24287
30.9,15.33772,0.7117,384.74444
31,15.62436,0.46485,385.44458
31.1,15.86419,0.32533,386.07234
31.2,15.97896,0.22473,386.42232
31.3,16.08355,0.21634,386.73099
31.4,16.16647,0.13528,386.88101
31.5,16.21817,0.11526,386.96898
31.6,16.25479,0.14218,386.81899
31.7,16.3642,0.35851,386.4726
31.8,16.49944,0.70726,385.37243
31.9,16.79148,1.08137,384.26195
32,17.19662,1.39819,383.11195
32.1,17.7123,1.51977,382.11719
32.2,18.26391,1.51197,381.71715
32.3,18.7748,1.60556,381.4
32.4,19.3005,1.50455,381.4
32.5,19.89427,1.42708,381.56584
32.6,20.36427,1.19568,382.36584
32.7,20.71337,0.88896,383.13475
32.8,20.97844,0.73325,383.78478
32.9,21.27052,0.64683,384.36222
33,21.44241,0.43218,384.66224
33.1,21.59375,0.47325,384.95188
33.2,21.82227,0.41997,385.20189
33.3,21.92141,0.30275,385.38962
33.4,22.04151,0.33219,385.33962
33.5,22.12457,0.40654,385.26886
33.6,22.33304,0.51227,385.11885
33.7,22.50535,0.58655,384.83383
33.8,22.62994,0.71559,384.03379
33.9,22.94245,0.8835,383.2026
34,23.31208,1.07859,382.25265
34.1,23.70773,1.1922,381.40652
34.2,24.19156,1.19645,380.95645
34.3,24.69688,1.44925,380.5272
34.4,25.16074,1.44818,380.17718
34.5,25.65551,1.40417,379.87919
34.6,26.14971,1.18686,379.77919
34.7,26.68177,1.42827,379.67919
34.8,27.18711,1.42214,379.57918
34.9,27.66556,1.27932,379.46877
35,28.13998,1.33068,379.31874
35.1,28.47838,1.256,379.2417
35.2,28.98933,1.256,379.44168
35.3,29.44215,1.23224,379.58958
35.4,29.90566,1.15126,379.53958
35.5,30.27063,1.1217,379.5938
35.6,30.54157,1.05218,380.04389
35.7,30.93191,0.9474,380.42088
35.8,31.26503,0.87983,380.52087
35.9,31.52044,0.94169,380.65216
36,31.74472,0.85784,380.90221
36.1,32.04639,0.75508,381.15225
36.2,32.41628,0.83031,381.40227
36.3,32.7601,0.80016,381.58954
36.4,32.89063,0.54369,381.53954
36.5,33.20806,0.57388,381.59414
36.6,33.35411,0.76873,382.04414
36.7,33.6715,0.54158,382.42092
36.8,33.8696,0.37438,382.52093
36.9,34.04688,0.58462,382.62093
37,34.24983,0.44456,382.72094
37.1,34.42176,0.39056,382.84188
37.2,34.46891,0.51023,383.04188
37.3,34.58848,0.33891,383.28376
37.4,34.68236,0.26366,383.68378
37.5,34.80202,0.22756,384.01048
37.6,34.91161,0.29147,384.06048
37.7,34.94259,0.30289,384.16291
37.8,35.06238,0.09521,384.46293
37.9,35.22385,0.2884,384.68951
38,35.21864,-0.01693,384.63951
38.1,35.33866,0.13387,384.63147
38.2,35.38011,0.23065,384.78148
38.3,35.42177,0.35014,384.92099
38.4,35.55717,0.1171,385.02099
38.5,35.63025,-0.04468,385.0895
38.6,35.66674,0.26758,385.0395
38.7,35.53657,0.24577,385.06301
38.8,35.59898,0.08958,385.36304
38.9,35.62495,0.03371,385.61051
39,35.4635,-0.23041,385.66051
39.1,35.60936,-0.09976,385.71051
39.2,35.61459,0.13214,385.76051
39.3,35.49477,-0.11122,385.82102
39.4,35.47918,-0.10151,385.92103
39.5,35.50516,-0.3456,386
39.6,35.61463,-0.2376,386
39.7,35.61981,-0.0736,386.02105
39.8,35.64055,-0.1464,386.12105
39.9,35.60929,-0.04961,386.22105
40,35.69801,-0.0896,386.32106
40.1,35.73944,-0.09599,386.4316
40.2,35.78133,0.01363,386.58157
40.3,35.5672,0.04309,386.72104
40.4,35.49483,-0.1952,386.82107
40.5,35.36454,-0.15116,386.94218
40.6,35.39579,-0.05038,387.14216
40.7,35.47392,-0.11092,387.35268
40.8,35.20781,-0.37925,387.60272
40.9,35.13017,-0.40611,387.86329
41,34.98934,-0.62036,388.16326
41.1,34.82813,-0.46689,388.45271
41.2,34.66672,-0.43807,388.70276
41.3,34.54104,-0.19434,388.88944
41.4,34.39578,-0.62281,388.83944
41.5,34.1875,-0.4457,388.82111
41.6,34.12993,-0.04669,388.92112
41.7,33.95273,-0.80349,389.0317
41.8,33.76563,-0.8769,389.1817
41.9,33.55649,-0.17042,389.39513
42,33.20313,-0.60963,389.84516
42.1,33.06224,-0.82083,390.16827
42.2,32.7754,-0.53943,390.01827
42.3,32.48301,-0.53861,389.87884
42.4,32.26133,-0.83112,389.77883
42.5,31.95824,-0.44262,389.67883
42.6,31.85426,-0.28657,389.57882
42.7,31.56761,-0.86406,389.57413
42.8,31.31221,-0.70996,389.92413
42.9,31.04657,-0.85922,390.26354
43,30.82752,-0.67115,390.56356
43.1,30.56727,-0.838,390.7894
43.2,30.3125,-0.80417,390.7394
43.3,30.00948,-0.69317,390.7212
43.4,29.68609,-0.72636,390.82121
43.5,29.36923,-0.90652,390.91061
43.6,29.20821,-0.94812,390.9606
43.7,28.74897,-0.81251,391
43.8,28.52035,-0.87203,391
43.9,28.04612,-0.93052,391.04246
44,27.58244,-0.98084,391.24246
44.1,27.32265,-0.98632,391.37877
44.2,26.86917,-0.98021,391.27876
44.3,26.55195,-1.056,391.25311
44.4,26.10304,-1.09475,391.50313
44.5,25.6402,-1.16756,391.68937
44.6,25.2753,-1.06929,391.63937
44.7,24.78546,-1.20692,391.57874
44.8,24.35298,-1.13539,391.47873
44.9,23.88972,-1.16206,391.36809
45,23.51011,-1.07538,391.21809
45.1,23.18702,-1.09726,391.0468
45.2,22.79595,-0.9663,390.7968
45.3,22.46776,-0.96025,390.58936
45.4,22.19205,-0.96857,390.53936
45.5,21.84829,-0.78661,390.5
45.6,21.43143,-0.87163,390.5
45.7,21.05137,-0.92062,390.51065
45.8,20.71318,-1.11115,390.56065
45.9,20.29634,-1.10085,390.61066
46,19.88506,-1.08686,390.66066
46.1,19.54073,-1.01057,390.67868
46.2,19.18194,-1.03657,390.57867
46.3,18.79628,-0.99542,390.48933
46.4,18.37945,-1.07543,390.43934
46.5,18.06191,-1.136,390.41067
46.6,17.62441,-1.17488,390.46067
46.7,17.25444,-1.30086,390.48933
46.8,16.81191,-1.27223,390.43933
46.9,16.39501,-1.10683,390.38933
47,15.99312,-1.03546,390.33932
47.1,15.54064,-1.10087,390.27864
47.2,15.06623,-1.10627,390.17863
47.3,14.65428,-1.08087,390.1
47.4,14.20113,-1.1106,390.1
47.5,13.79488,-1.17058,390.07863
47.6,13.45245,-1.216,389.97862
47.7,12.96244,-1.16243,389.86792
47.8,12.56609,-1.01548,389.71792
47.9,12.20178,-1.06626,389.5893
48,11.83737,-1.01166,389.5393
48.1,11.473,-0.97009,389.4786
48.2,11.1136,-1.07113,389.37859
48.3,10.72797,-1.05113,389.3
48.4,10.34797,-1.04574,389.3
48.5,9.93602,-1.05164,389.27864
48.6,9.60862,-0.99548,389.17861
48.7,9.22292,-1.01702,389.07858
48.8,8.88414,-0.92526,388.97859
48.9,8.55599,-1.00625,388.88929
49,8.2337,-0.97113,388.83928
49.1,7.89476,-0.93161,388.77855
49.2,7.58226,-0.8175,388.67857
49.3,7.2541,-0.698,388.58929
49.4,6.99424,-0.72241,388.53928
49.5,6.69158,-0.76382,388.47866
49.6,6.41035,-0.65312,388.37915
49.7,6.15559,-0.63311,388.3
49.8,5.88987,-0.6033,388.3
49.9,5.66625,-0.53839,388.27951
50,5.45729,-0.45839,388.17951
50.1,5.27555,-0.36907,388.08976
50.2,5.11433,-0.28,388.03979
50.3,4.97866,-0.26528,388
50.4,4.84868,-0.21019,388
50.5,4.74422,-0.19473,388
50.6,4.61919,-0.2498,388
50.7,4.4942,-0.28,388
50.8,4.35355,-0.2844,388
50.9,4.213,-0.28385,387.98973
51,4.0928,-0.24,387.93973
51.1,3.96875,-0.22536,387.9
51.2,3.8379,-0.1751,387.9
51.3,3.73344,-0.15512,387.9
51.4,3.64063,-0.14981,387.9
51.5,3.53614,-0.17026,387.88972
51.6,3.44238,-0.14976,387.83972
51.7,3.33301,-0.17018,387.8
51.8,3.23924,-0.13024,387.8
51.9,3.16115,-0.08042,387.75888
52,3.07228,0.10248,387.55887
52.1,3.0625,0.49274,387.36915
52.2,3.16701,0.56731,387.21915
52.3,3.31837,0.69224,387.08972
52.4,3.53715,0.78817,387.03972
52.5,3.76666,0.758,386.97943
52.6,4.0167,0.76784,386.87941
52.7,4.2667,0.84161,386.7691
52.8,4.52749,0.99572,386.61909
52.9,4.83494,1.07572,386.44847
53,5.22098,1.17546,386.19846
53.1,5.61643,1.3108,385.94845
53.2,6.0599,1.34614,385.69845
53.3,6.50225,1.37471,385.47938
53.4,7.00827,1.51452,385.37937
53.5,7.50201,1.35994,385.28968
53.6,7.92419,1.23132,385.23968
53.7,8.34008,1.156,385.22064
53.8,8.75715,1.12637,385.32065
53.9,9.10562,1.00143,385.43098
54,9.40745,0.88118,385.58098
54.1,9.67788,0.80685,385.73098
54.2,9.91226,0.69329,385.88098
54.3,10.13101,0.59823,386.02065
54.4,10.31373,0.54788,386.12066
54.5,10.47478,0.56317,386.22067
54.6,10.59375,0.50811,386.32068
54.7,10.72478,0.4335,386.41034
54.8,10.81855,0.33261,386.46034
54.9,10.92787,0.42318,386.5
55,10.97958,0.40769,386.5
55.1,11.1046,0.41933,386.5
55.2,11.23565,0.19979,386.5
55.3,11.36544,0.25011,386.4793
55.4,11.5013,0.20515,386.37929
55.5,11.61545,0.14515,386.28964
55.6,11.79471,0.16387,386.23964
55.7,12.01086,0.48127,386.15856
55.8,12.20922,0.7723,385.95855
55.9,12.35938,0.53782,385.84146
56,12.64199,0.53357,386.04147
56.1,12.93411,0.33304,386.21037
56.2,13.17188,0.24413,386.26037
56.3,13.161,0.00512,386.32075
56.4,13.19976,-0.01521,386.42076
56.5,13.47014,0.04019,386.5
56.6,13.78882,-0.02496,386.5
56.7,13.88729,-0.04992,386.52077
56.8,13.99052,-0.07008,386.62078
56.9,14.11081,-0.06479,386.7
57,14.1984,-0.14,386.7
57.1,14.3125,-0.17922,386.7104
57.2,14.3859,-0.2687,386.7604
57.3,14.46875,-0.20929,386.76881
57.4,14.52652,-0.27366,386.61881
57.5,14.64211,-0.2,386.4064
57.6,14.75184,-0.10062,385.95637
57.7,14.82813,0.26408,385.45432
57.8,15.09522,0.458,384.75429
57.9,15.42488,0.48783,384.13754
58,15.76243,0.59292,383.83752
58.1,16.06402,0.62805,383.55835
58.2,16.4187,0.6179,383.35839
58.3,16.78428,0.72229,383.16881
58.4,17.20624,0.90576,383.01876
58.5,17.5953,1.01619,382.87915
58.6,18.00931,1.04982,382.77916
58.7,18.51094,1.34523,382.51251
58.8,19.00783,0.94058,381.61242
58.9,19.52036,1.31526,380.82703
59,20.08128,1.494,380.47703
59.1,20.65476,1.47407,380.14787
59.2,21.22351,1.45387,379.89784
59.3,21.85951,1.59892,379.62696
59.4,22.51416,1.66404,379.27698
59.5,23.12825,1.61904,378.97914
59.6,23.62828,1.57899,378.87912
59.7,24.13923,1.57904,378.77912
59.8,24.68614,1.534,378.67915
59.9,25.18619,1.54897,378.56876
60,25.69085,1.58402,378.41872
60.1,26.21112,1.56398,378.17474
60.2,26.79561,1.64391,377.57483
60.3,27.38469,1.81397,376.87065
60.4,28.04265,1.88848,375.77065
60.5,28.71927,1.97692,374.70193
60.6,29.4536,2.15197,373.75193
60.7,30.23951,2.267,372.88531
60.8,31.04912,2.252,372.33523
60.9,31.73783,2.23702,371.83736
61,32.5803,2.24646,371.53738
61.1,33.33979,2.38551,371.24783
61.2,34.10368,2.27202,370.99783
61.3,34.85361,2.152,370.74783
61.4,35.56785,2.147,370.49787
61.5,36.27097,2.10699,370.36254
61.6,36.98044,1.98197,370.66261
61.7,37.6929,2.03666,371.08801
61.8,38.13242,2.28121,371.98801
61.9,38.69108,1.11595,372.8567
62,39.13783,1.03562,373.60681
62.1,39.58175,1.28944,374.25229
62.2,40.0505,1.16602,374.50227
62.3,40.48805,1.18598,374.73135
62.4,40.83642,1.17103,374.88136
62.5,41.22242,1.21099,375.03136
62.6,41.58185,1.22056,375.18137
62.7,41.99267,1.23435,375.31046
62.8,42.34739,1.056,375.36046
62.9,42.67376,1.03093,375.43142
63,43.04605,0.93092,375.58145
63.1,43.32731,0.92121,375.71049
63.2,43.80069,1.12102,375.7605
63.3,44.20883,1.0808,375.81051
63.4,44.43293,0.8658,375.86051
63.5,44.72715,0.75114,375.91051
63.6,44.95503,0.91123,375.96051
63.7,45.17378,1.05591,376.02101
63.8,45.43945,0.96085,376.12102
63.9,45.74736,0.856,376.23153
64,45.957,0.84595,376.38156
64.1,46.26305,0.816,376.61577
64.2,46.50455,0.74111,377.16577
64.3,46.69857,0.56776,377.72629
64.4,46.88354,0.65617,378.32626
64.5,46.98635,0.48303,378.91568
64.6,47.27867,0.498,379.46549
64.7,47.46875,0.44267,379.94193
64.8,47.60285,0.26291,380.1419
64.9,47.65171,0.22303,380.34189
65,47.59127,0.23297,380.54196
65.1,47.65172,0.25323,380.75251
65.2,47.66281,0.36807,381.00246
65.3,47.73438,0.36781,381.14757
65.4,47.72985,0.28303,380.89756
65.5,47.75,0.34332,380.46928
65.6,47.91945,0.50772,379.36955
65.7,48.17396,0.6363,378.08092
65.8,48.39722,0.7963,376.07862
65.9,48.81223,0.96136,374.25693
66,49.28095,1.1711,373.10819
66.1,49.52674,1.35871,372.11624
66.2,49.86151,1.26408,371.71622
66.3,50.24526,1.3293,371.30562
66.4,50.76987,1.43904,370.8551
66.5,51.26996,1.41364,370.44705
66.6,51.71407,1.33437,370.19703
66.7,52.22754,1.40858,369.96821
66.8,52.66729,1.274,369.81822
66.9,53.01332,1.27905,369.72119
67,53.46861,1.28391,369.8212
67.1,53.97986,1.2439,369.96361
67.2,54.4419,1.1938,370.26364
67.3,54.74993,1.16431,370.68038
67.4,55.14285,1.17371,371.53042
67.5,55.38171,0.92084,372.27431
67.6,55.67856,0.87095,372.62431
67.7,55.9777,0.856,372.95308
67.8,56.33708,0.87107,373.20309
67.9,56.55804,0.88565,373.42124
68,56.8661,0.81623,373.52125
68.1,57.11165,0.89114,373.61063
68.2,57.36163,0.8908,373.66063
68.3,57.66744,0.76105,373.7
68.4,57.93306,0.79611,373.7
68.5,58.14063,0.80033,373.7
68.6,58.37966,0.67142,373.7
68.7,58.58488,0.776,373.72128
68.8,58.79919,0.79626,373.82128
68.9,59.06278,0.8256,373.93192
69,59.29921,0.72084,374.08193
69.1,59.56484,0.67097,374.22129
69.2,59.77241,0.70159,374.3213
69.3,59.9083,0.7302,374.54911
69.4,59.96433,0.44283,375.24914
69.5,60.17427,0.45573,375.99179
69.6,60.39742,0.27293,376.89179
69.7,60.41746,0.22757,377.78114
69.8,60.54927,0.15829,378.63119
69.9,60.64304,0.25859,379.40661
70,60.72117,0.27651,379.90663
70.1,60.70555,-0.03721,380.40666
70.2,60.73681,-0.03139,380.90668
70.3,60.78362,0.10277,381.36402
70.4,60.82813,0.04278,381.66404
70.5,60.85938,-0.0223,381.93203
70.6,60.76756,-0.0566,382.08203
70.7,60.80374,0.02816,382.2427
70.8,60.875,0.02245,382.44271
70.9,60.86623,-0.09671,382.63204
71,60.84375,-0.14506,382.78205
71.1,60.7925,-0.11002,382.94274
71.2,60.79688,-0.00724,383.14274
71.3,60.77435,-0.10494,383.32137
71.4,60.72312,0.00817,383.42138
71.5,60.74311,-0.02758,383.5
71.6,60.68929,-0.22,383.5
71.7,60.78125,-0.25052,383.5
71.8,60.65369,-0.29425,383.5
71.9,60.5356,-0.16,383.5321
72,60.5269,-0.16509,383.6821
72.1,60.42188,-0.1144,383.8321
72.2,60.44443,-0.00771,383.98212
72.3,60.41319,-0.27527,384.1
72.4,60.3663,-0.29453,384.1
72.5,60.25,-0.17979,384.16426
72.6,60.375,-0.08693,384.46426
72.7,60.375,-0.18038,384.72142
72.8,60.36802,-0.29094,384.8214
72.9,60.3351,-0.39926,384.8786
73,60.31948,-0.2749,384.77857
73.1,60.22573,-0.15855,384.71072
73.2,60.05016,0.06223,384.76072
73.3,60.06948,-0.22615,384.81072
73.4,60.03825,-0.37408,384.86073
73.5,59.91217,-0.25531,384.9
73.6,59.84806,-0.2949,384.9
73.7,59.72735,-0.25447,384.91073
73.8,59.79257,-0.2055,384.96074
73.9,59.70197,-0.29018,385.02148
74,59.49451,-0.27915,385.12147
74.1,59.50704,-0.17532,385.23221
74.2,59.55392,-0.25063,385.38221
74.3,59.41911,-0.36044,385.54297
74.4,59.37071,-0.39444,385.743
74.5,59.29259,-0.32,385.93226
74.6,59.19885,-0.32511,386.08226
74.7,59.12649,-0.36557,386.29675
74.8,58.97732,-0.43489,386.74678
74.9,58.77843,-0.42511,387.15377
75,58.60374,-0.42977,387.40376
75.1,58.44039,-0.43573,387.6645
75.2,58.35227,-0.55017,387.96448
75.3,58.18466,-0.59995,388.21075
75.4,58,-0.60221,388.26076
75.5,57.81954,-0.46048,388.34308
75.6,57.5625,-0.53535,388.54309
75.7,57.43038,-0.58973,388.72155
75.8,57.29246,-0.64355,388.82156
75.9,56.97572,-0.65749,389.08327
76,56.80536,-0.56617,389.93331
76.1,56.61917,-0.83833,390.58921
76.2,56.30535,-0.84711,390.53921
76.3,56.09799,-0.76418,390.51079
76.4,55.78549,-0.96312,390.56079
76.5,55.47004,-0.91134,390.66474
76.6,55.23273,-0.76927,390.96476
76.7,54.99113,-0.88211,391.1892
76.8,54.65329,-0.80362,391.1392
76.9,54.32938,-0.88313,391.1
77,54.09797,-0.83151,391.1
77.1,53.84077,-0.6226,391.12163
